case_id,run_id,status,load_multiplier_pu,current_A,oil_temperature_C,air_temperature_C,contact_resistance_multiplier_pu,Tmax_global_C,Tmax_conductor_C,Tmax_RIP_C,Tmax_contact_C,Tmax_silicone_C,Tmax_flange_C,thermal_warning,thermal_risk,risk_zone,contact_risk_zone,note
RUN008_CASE_043,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.000000,1250.00000,95.000000,25.000000,2.000000,98.9678769,76.7242942,98.9678769,60.2927982,57.6026727,48.5881368,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_044,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.200000,1500.00000,95.000000,25.000000,2.000000,99.0722091,79.5298214,99.0722091,67.7404271,59.6166612,49.3266317,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_045,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.400000,1750.00000,95.000000,25.000000,2.000000,99.1629963,83.0131028,99.1629963,76.8465115,62.1850782,50.2867712,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_046,SOLID_ONLY_RISK_125_RUN008,INVALID_CASE,0.600000,750.000000,105.000000,25.000000,2.000000,109.428819,79.3522009,109.428819,52.8335726,58.6679888,50.5796273,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_047,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.800000,1000.00000,105.000000,25.000000,2.000000,109.477999,81.0547234,109.477999,57.2718401,59.9350325,51.0611040,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_048,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.000000,1250.00000,105.000000,25.000000,2.000000,109.543760,83.2824937,109.543760,63.1739857,61.5866925,51.6865699,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_049,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.200000,1500.00000,105.000000,25.000000,2.000000,109.588961,86.1549842,109.588961,70.6199097,63.7383644,52.5158784,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_050,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.400000,1750.00000,105.000000,25.000000,2.000000,109.714066,89.6732057,109.714066,79.8705407,66.2658853,53.4396267,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_051,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.600000,750.000000,65.000000,25.000000,5.000000,67.2326705,53.4021510,67.2326705,43.1189608,42.8756478,38.1895576,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_052,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.800000,1000.00000,65.000000,25.000000,5.000000,67.2853368,55.1037244,67.2853368,48.5108944,44.1987348,38.6848717,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
