idx,type,xmin,xmax,ymin,ymax,dx,dy
110,LINE,2200.520504902378,2200.522534798311,2073.066709336857,2077.066709336857,0.0020298959329920763,4.0
111,LINE,2200.528624467668,2200.530654382044,2057.066709336857,2061.066745679969,0.002029914375725639,4.000036343111788
112,LINE,2200.520504902378,2202.022534798311,2073.066709336857,2077.066709336857,1.502029895932992,4.0
113,LINE,2202.022534798311,2202.022534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
114,LINE,2200.530654382044,2202.022534798311,2057.066709336857,2061.066745679969,1.4918804162671222,4.000036343111788
115,LINE,2203.022534798311,2203.022534798311,2073.066709336857,2075.566709336857,0.0,2.5
116,LINE,2203.022534798311,2204.022534798311,2073.066709336857,2075.566709336857,1.0,2.5
117,LINE,2204.022534798311,2204.022534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
118,LINE,2203.022534798311,2203.022534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
119,LINE,2203.022534798311,2203.022534798311,2058.566745679969,2061.066745679969,0.0,2.5
120,LINE,2203.022534798311,2204.022534798311,2058.566745679969,2061.066745679969,1.0,2.5
121,LINE,2205.022534798311,2205.028624467668,2061.066745679969,2073.066709336857,0.006089669357152161,11.999963656888212
122,LINE,2205.020504902378,2205.022534798311,2073.066709336857,2077.066709336857,0.0020298959329920763,4.0
123,LINE,2205.028624467668,2205.030654382044,2057.066709336857,2061.066745679969,0.002029914375725639,4.000036343111788
124,LINE,2205.020504902378,2206.522534798311,2073.066709336857,2077.066709336857,1.502029895932992,4.0
125,LINE,2206.522534798311,2206.522534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
126,LINE,2205.030654382044,2206.522534798311,2057.066709336857,2061.066745679969,1.4918804162671222,4.000036343111788
127,LINE,2207.522534798311,2207.522534798311,2073.066709336857,2075.566709336857,0.0,2.5
128,LINE,2207.522534798311,2208.522534798311,2073.066709336857,2075.566709336857,1.0,2.5
129,LINE,2208.522534798311,2208.522534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
130,LINE,2207.522534798311,2207.522534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
131,LINE,2207.522534798311,2207.522534798311,2058.566745679969,2061.066745679969,0.0,2.5
132,LINE,2207.522534798311,2208.522534798311,2058.566745679969,2061.066745679969,1.0,2.5
133,LINE,2209.522534798311,2209.528624467668,2061.066745679969,2073.066709336857,0.006089669357152161,11.999963656888212
134,LINE,2209.520504902378,2209.522534798311,2073.066709336857,2077.066709336857,0.0020298959329920763,4.0
135,LINE,2209.528624467668,2209.530654382044,2057.066709336857,2061.066745679969,0.002029914375725639,4.000036343111788
136,LINE,2209.520504902378,2211.022534798311,2073.066709336857,2077.066709336857,1.502029895932992,4.0
137,LINE,2211.022534798311,2211.022534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
138,LINE,2209.530654382044,2211.022534798311,2057.066709336857,2061.066745679969,1.4918804162671222,4.000036343111788
139,LINE,2212.022534798311,2212.022534798311,2073.066709336857,2075.566709336857,0.0,2.5
140,LINE,2212.022534798311,2213.022534798311,2073.066709336857,2075.566709336857,1.0,2.5
141,LINE,2213.022534798311,2213.022534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
142,LINE,2212.022534798311,2212.022534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
143,LINE,2212.022534798311,2212.022534798311,2058.566745679969,2061.066745679969,0.0,2.5
144,LINE,2212.022534798311,2213.022534798311,2058.566745679969,2061.066745679969,1.0,2.5
145,LINE,2214.022534798311,2214.028624467668,2061.066745679969,2073.066709336857,0.006089669357152161,11.999963656888212
146,LINE,2214.020504902378,2214.022534798311,2073.066709336857,2077.066709336857,0.0020298959329920763,4.0
147,LINE,2214.028624467668,2214.030654382044,2057.066709336857,2061.066745679969,0.002029914375725639,4.000036343111788
148,LINE,2214.020504902378,2215.522534798311,2073.066709336857,2077.066709336857,1.502029895932992,4.0
