case_id,Emax_global_V_per_m,Emax_RIP_V_per_m,Emax_RIP_probe_excluding_edges_V_per_m,E95_RIP_V_per_m,Emean_RIP_V_per_m,field_singularity_flag,screen_end_hotspot_flag,notes
RUN010_CASE_097,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_098,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_099,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_100,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_101,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_102,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_103,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_104,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_105,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_106,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_107,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_108,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_109,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_110,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_111,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_112,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_113,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_114,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_115,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_116,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_117,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_118,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_119,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_120,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_121,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_122,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_123,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_124,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_125,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
