case_id,load_multiplier_pu,oil_temperature_C,contact_resistance_multiplier_pu,Tmax_global_RUN008_C,Tmax_global_RUN010_C,delta_Tmax_global_C,Tmax_RIP_RUN008_C,Tmax_RIP_RUN010_C,delta_Tmax_RIP_C,Qdielectric_RUN008_ref_W,Qdielectric_RUN010_field_W,Qdielectric_ratio_field_to_ref,risk_zone_RUN008,risk_zone_RUN010,risk_zone_changed,notes
RUN010_CASE_063,1.0,85.0,5.0,88.4378323,88.6076271,0.16979480000000535,88.4378323,88.6076271,0.16979480000000535,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_064,1.2,85.0,5.0,88.5432878,88.6908176,0.14752980000000093,88.5432878,88.6908176,0.14752980000000093,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_065,1.4,85.0,5.0,88.6435141,88.8905102,0.24699609999998984,88.6435141,88.7924388,0.14892469999999491,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_066,0.6,95.0,5.0,98.8881458,99.0343369,0.1461910999999958,98.8881458,99.0343369,0.1461910999999958,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_067,0.8,95.0,5.0,98.9415995,99.0854806,0.14388110000000154,98.9415995,99.0854806,0.14388110000000154,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_068,1.0,95.0,5.0,99.0115277,99.1526429,0.14111520000000155,99.0115277,99.1526429,0.14111520000000155,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_069,1.2,95.0,5.0,99.0936829,99.2369685,0.14328559999999868,99.0936829,99.2369685,0.14328559999999868,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_070,1.4,95.0,5.0,99.1932419,99.339966,0.14672410000000013,99.1932419,99.339966,0.14672410000000013,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_071,0.6,105.0,5.0,109.434174,109.577748,0.14357400000000098,109.434174,109.577748,0.14357400000000098,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_072,0.8,105.0,5.0,109.487997,109.629587,0.14159000000000788,109.487997,109.629587,0.14159000000000788,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_073,1.0,105.0,5.0,109.55942,109.697659,0.13823899999999867,109.55942,109.697659,0.13823899999999867,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_074,1.2,105.0,5.0,109.64417,109.783119,0.13894899999999666,109.64417,109.783119,0.13894899999999666,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_075,1.4,105.0,5.0,109.744056,109.887493,0.1434370000000058,109.744056,109.887493,0.1434370000000058,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_076,0.6,65.0,10.0,67.2418695,67.4123958,0.1705262999999917,67.2418695,67.4123958,0.1705262999999917,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_077,0.8,65.0,10.0,67.3003944,67.4681318,0.16773739999999293,67.3003944,67.4681318,0.16773739999999293,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_078,1.0,65.0,10.0,67.3891166,67.5414638,0.15234720000000834,67.3891166,67.5414638,0.15234720000000834,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_079,1.2,65.0,10.0,77.2403909,79.9328911,2.692500200000012,73.6707738,76.3503588,2.679584999999989,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_080,1.4,65.0,10.0,93.2776953,96.0759719,2.798276599999994,88.1812508,90.9528819,2.7716310999999934,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_081,0.6,75.0,10.0,77.8054933,77.9558066,0.15031330000000764,77.8054933,77.9558066,0.15031330000000764,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
RUN010_CASE_082,0.8,75.0,10.0,77.8435565,78.0122383,0.16868180000000166,77.8435565,78.0122383,0.16868180000000166,2.54518841,28.0485376,11.0202205,safe,safe,False,RUN010 uses field-coupled dielectric loss; RUN008 uses approximate_Qdielectric_ref
