selection_name,domain_ids,boundary_ids
geom_v3_g_inner_conduit_or_hollow_region_dom,"1",""
geom_v3_g_inner_conduit_or_hollow_region_pnt,"",""
geom_v3_g_rip_capacitor_core_bnd,"","11 12 14 29 63 64 66 68 70"
geom_v3_g_rip_capacitor_core_dom,"5 7 8 9 10 11 12 13 14 15 16 17",""
geom_v3_g_rip_capacitor_core_pnt,"",""
geom_v3_g_screen_S00_bnd,"","17 18 19 20"
geom_v3_g_screen_S00_dom,"7",""
geom_v3_g_screen_S00_pnt,"",""
geom_v3_g_screen_S01_bnd,"","21 22 23 24"
geom_v3_g_screen_S01_dom,"8",""
geom_v3_g_screen_S01_pnt,"",""
geom_v3_g_screen_S02_bnd,"","25 26 27 30"
geom_v3_g_screen_S02_dom,"9",""
geom_v3_g_screen_S02_pnt,"",""
geom_v3_g_screen_S03_bnd,"","31 32 33 34"
geom_v3_g_screen_S03_dom,"10",""
geom_v3_g_screen_S03_pnt,"",""
geom_v3_g_screen_S04_bnd,"","35 36 37 38"
geom_v3_g_screen_S04_dom,"11",""
geom_v3_g_screen_S04_pnt,"",""
geom_v3_g_screen_S05_bnd,"","39 40 41 42"
geom_v3_g_screen_S05_dom,"12",""
geom_v3_g_screen_S05_pnt,"",""
geom_v3_g_screen_S06_bnd,"","43 44 45 46"
geom_v3_g_screen_S06_dom,"13",""
geom_v3_g_screen_S06_pnt,"",""
geom_v3_g_screen_S07_bnd,"","47 48 49 50"
geom_v3_g_screen_S07_dom,"14",""
geom_v3_g_screen_S07_pnt,"",""
geom_v3_g_screen_S08_bnd,"","51 52 53 54"
geom_v3_g_screen_S08_dom,"15",""
geom_v3_g_screen_S08_pnt,"",""
geom_v3_g_screen_S09_bnd,"","55 56 57 58"
geom_v3_g_screen_S09_dom,"16",""
geom_v3_g_screen_S09_pnt,"",""
geom_v3_g_screen_S10_bnd,"","59 60 61 62"
geom_v3_g_screen_S10_dom,"17",""
geom_v3_g_screen_S10_pnt,"",""
